Loaded guess DOFs from: out_less_gates_twist_windowed_test1/opt_dofs_2026-08-23_01-07-13.npy (195 values)
Loaded endurance_tracks/Michigan-2019-endurance_gates.csv: 141 gates

===== Windowed sweep (window=6, step=5) =====
Obj funtion: (0.1053301329323555, 0.00678343365497899)   (rho_normalized calls: 357) 


Obj funtion: (0.1053301329336442, 0.006783433657224034)   (rho_normalized calls: 357) 


Obj funtion: (0.10533013292558252, 0.006783433650065198)   (rho_normalized calls: 357) 


Obj funtion: (0.1053301329419551, 0.006783433655855483)   (rho_normalized calls: 357) 


Obj funtion: (0.10533013296577057, 0.006783433636002499)   (rho_normalized calls: 357) 


Obj funtion: (0.10533013292449546, 0.006783433678517685)   (rho_normalized calls: 357) 


Obj funtion: (0.5068797006648961, 0.004374817119544832)   (rho_normalized calls: 483) 


Obj funtion: (0.5068797001747278, 0.004374817062212637)   (rho_normalized calls: 483) 


Obj funtion: (0.5068796976181468, 0.004374816817393384)   (rho_normalized calls: 483) 


Obj funtion: (0.5068797013920107, 0.004374817617187325)   (rho_normalized calls: 483) 


Obj funtion: (0.5068796985954407, 0.004374817247754124)   (rho_normalized calls: 483) 


Obj funtion: (0.5068796916262933, 0.004374816663852349)   (rho_normalized calls: 483) 


Obj funtion: (0.5068797005678456, 0.00437481738761859)   (rho_normalized calls: 483) 


Obj funtion: (0.5068797006587302, 0.004374817118640909)   (rho_normalized calls: 483) 


Obj funtion: (0.5068797006946002, 0.004374817119294298)   (rho_normalized calls: 483) 


Obj funtion: (0.5068797007362704, 0.0043748171117899415)   (rho_normalized calls: 483) 


Obj funtion: (0.5068797006698141, 0.004374817114816926)   (rho_normalized calls: 483) 


Obj funtion: (0.5068797010060903, 0.004374817116282393)   (rho_normalized calls: 483) 


Obj funtion: (0.5068797006736131, 0.004374817116537335)   (rho_normalized calls: 483) 


Obj funtion: (0.5068797007178171, 0.004374817124591281)   (rho_normalized calls: 483) 


Obj funtion: (0.5068797005864425, 0.004374817121975039)   (rho_normalized calls: 483) 


Obj funtion: (0.5068797004969756, 0.004374817126351087)   (rho_normalized calls: 483) 


Obj funtion: (0.5068797012828761, 0.004374817138104708)   (rho_normalized calls: 483) 


Obj funtion: (0.5068797010637603, 0.00437481711211544)   (rho_normalized calls: 483) 


Obj funtion: (0.5068797005649498, 0.0043748171143474755)   (rho_normalized calls: 483) 


Obj funtion: (0.506879700664587, 0.00437481711943238)   (rho_normalized calls: 483) 


Obj funtion: (0.506879700666787, 0.004374817117136515)   (rho_normalized calls: 483) 


Obj funtion: (0.5068797006639155, 0.004374817112396817)   (rho_normalized calls: 483) 


Obj funtion: (0.5068797006559241, 0.004374817120051268)   (rho_normalized calls: 483) 


Obj funtion: (0.5068797006374014, 0.0043748171207366555)   (rho_normalized calls: 483) 


Obj funtion: (0.5068797006650562, 0.004374817120269641)   (rho_normalized calls: 483) 


Obj funtion: (0.5068797006677739, 0.00437481712017045)   (rho_normalized calls: 483) 


Obj funtion: (0.5068797006569984, 0.00437481713528951)   (rho_normalized calls: 483) 


Obj funtion: (0.5068797006664627, 0.004374817142101589)   (rho_normalized calls: 483) 


Obj funtion: (0.5068797007025474, 0.004374817118951921)   (rho_normalized calls: 483) 


Obj funtion: (0.5068797006354702, 0.004374817138973739)   (rho_normalized calls: 483) 


Obj funtion: (0.5068797006641541, 0.004374817143048281)   (rho_normalized calls: 483) 


Obj funtion: (0.08433157716388416, 0.005109904177200851)   (rho_normalized calls: 357) 


Obj funtion: (0.08433157704867247, 0.00510990413341149)   (rho_normalized calls: 357) 


Obj funtion: (0.08433157727428993, 0.005109904650250765)   (rho_normalized calls: 357) 


Obj funtion: (0.08433157570131801, 0.005109903951008849)   (rho_normalized calls: 357) 


Obj funtion: (0.08433157527873707, 0.005109904426883021)   (rho_normalized calls: 357) 


Obj funtion: (0.08433157857223218, 0.0051099042743909615)   (rho_normalized calls: 357) 


Obj funtion: (0.08433157601028726, 0.005109904146572378)   (rho_normalized calls: 357) 


Obj funtion: (0.08433157716208775, 0.005109904177075979)   (rho_normalized calls: 357) 


Obj funtion: (0.0843315771614962, 0.005109904169090218)   (rho_normalized calls: 357) 


Obj funtion: (0.08433157717922769, 0.0051099041497096685)   (rho_normalized calls: 357) 


Obj funtion: (0.08433157718547825, 0.005109904170513999)   (rho_normalized calls: 357) 


Obj funtion: (0.08433157721864401, 0.005109904176957527)   (rho_normalized calls: 357) 


Obj funtion: (0.08433157717759676, 0.005109904170353996)   (rho_normalized calls: 357) 


Obj funtion: (0.08433157717550054, 0.005109904178425538)   (rho_normalized calls: 357) 


Obj funtion: (0.08433157717990662, 0.0051099042031852535)   (rho_normalized calls: 357) 


Obj funtion: (0.08433157713249333, 0.005109904245926888)   (rho_normalized calls: 357) 


Obj funtion: (0.08433157734629158, 0.005109904190370603)   (rho_normalized calls: 357) 


Obj funtion: (0.08433157717839111, 0.005109904177004837)   (rho_normalized calls: 357) 


Obj funtion: (0.08433157715617559, 0.005109904165073936)   (rho_normalized calls: 357) 


Obj funtion: (0.08433157716376212, 0.005109904177138651)   (rho_normalized calls: 357) 


Obj funtion: (0.08433157716395673, 0.005109904176324334)   (rho_normalized calls: 357) 


Obj funtion: (0.08433157716557943, 0.0051099041618417294)   (rho_normalized calls: 357) 


Obj funtion: (0.08433157716237312, 0.005109904177616731)   (rho_normalized calls: 357) 


Obj funtion: (0.08433157715964407, 0.0051099041763657)   (rho_normalized calls: 357) 


Obj funtion: (0.08433157716396573, 0.005109904177040625)   (rho_normalized calls: 357) 


Obj funtion: (0.0843315771646789, 0.005109904177646412)   (rho_normalized calls: 357) 


Obj funtion: (0.08433157716382449, 0.005109904180104468)   (rho_normalized calls: 357) 


Obj funtion: (0.084331577159171, 0.005109904229601907)   (rho_normalized calls: 357) 


Obj funtion: (0.0843315771916544, 0.005109904175969309)   (rho_normalized calls: 357) 


Obj funtion: (0.08433157717824423, 0.005109904166400064)   (rho_normalized calls: 357) 


Obj funtion: (0.08433157715720777, 0.005109904197797314)   (rho_normalized calls: 357) 


Obj funtion: (0.07964172409586373, 0.007785917770973213)   (rho_normalized calls: 273) 


Obj funtion: (0.07964172397596711, 0.007785916754334093)   (rho_normalized calls: 273) 


Obj funtion: (0.07964172401186403, 0.007785914561745036)   (rho_normalized calls: 273) 


Obj funtion: (0.07964172294697873, 0.007785919159146833)   (rho_normalized calls: 273) 


Obj funtion: (0.07964172299734378, 0.0077858709502447235)   (rho_normalized calls: 273) 


Obj funtion: (0.07964172435294672, 0.007785982705804395)   (rho_normalized calls: 273) 


Obj funtion: (0.07964172294142813, 0.00778591531175953)   (rho_normalized calls: 273) 


Obj funtion: (0.07964172409399328, 0.007785917755465174)   (rho_normalized calls: 273) 


Obj funtion: (0.07964172409503259, 0.007785917755585643)   (rho_normalized calls: 273) 


Obj funtion: (0.07964172411026459, 0.0077859177600578386)   (rho_normalized calls: 273) 


Obj funtion: (0.07964172411892513, 0.007785916529488929)   (rho_normalized calls: 273) 


Obj funtion: (0.07964172415028781, 0.007785917467762087)   (rho_normalized calls: 273) 


Obj funtion: (0.07964172410948359, 0.00778591772199145)   (rho_normalized calls: 273) 


Obj funtion: (0.07964172410800077, 0.007785917859616708)   (rho_normalized calls: 273) 


Obj funtion: (0.07964172410317982, 0.007785917840832296)   (rho_normalized calls: 273) 


Obj funtion: (0.0796417240631946, 0.0077859177601088125)   (rho_normalized calls: 273) 


Obj funtion: (0.07964172424659145, 0.007785919685474804)   (rho_normalized calls: 273) 


Obj funtion: (0.07964172406706146, 0.007785921180700953)   (rho_normalized calls: 273) 


Obj funtion: (0.07964172408969297, 0.007785917981288808)   (rho_normalized calls: 273) 


Obj funtion: (0.07964172409573822, 0.007785917769126919)   (rho_normalized calls: 273) 


Obj funtion: (0.07964172409601628, 0.007785917782793876)   (rho_normalized calls: 273) 


Obj funtion: (0.07964172409725506, 0.007785917756258323)   (rho_normalized calls: 273) 


Obj funtion: (0.07964172409470273, 0.007785917603675691)   (rho_normalized calls: 273) 


Obj funtion: (0.07964172409157522, 0.00778591769726747)   (rho_normalized calls: 273) 


Obj funtion: (0.0796417240959281, 0.007785917775474009)   (rho_normalized calls: 273) 


Obj funtion: (0.07964172409668455, 0.007785917781648639)   (rho_normalized calls: 273) 


Obj funtion: (0.07964172409532125, 0.007785917708026217)   (rho_normalized calls: 273) 


Obj funtion: (0.07964172409200097, 0.007785917823968607)   (rho_normalized calls: 273) 


Obj funtion: (0.07964172412081344, 0.007785917891929599)   (rho_normalized calls: 273) 


Obj funtion: (0.07964172411395046, 0.007785917220651428)   (rho_normalized calls: 273) 


Obj funtion: (0.07964172408915907, 0.0077859177611080245)   (rho_normalized calls: 273) 


Obj funtion: (0.07061526623573365, 0.007488064881217992)   (rho_normalized calls: 273) 


Obj funtion: (0.07061526611682913, 0.007488064970243987)   (rho_normalized calls: 273) 


Obj funtion: (0.07061526553262172, 0.007488064494858617)   (rho_normalized calls: 273) 


Obj funtion: (0.07061526621040959, 0.0074880650549691025)   (rho_normalized calls: 273) 


Obj funtion: (0.07061526660307789, 0.007488064707241925)   (rho_normalized calls: 273) 


Obj funtion: (0.07061526492552923, 0.007488064779905031)   (rho_normalized calls: 273) 


Obj funtion: (0.0706152651639547, 0.007488064853433119)   (rho_normalized calls: 273) 


Obj funtion: (0.07061526623389107, 0.007488064882597583)   (rho_normalized calls: 273) 


Obj funtion: (0.07061526624172304, 0.007488064894060316)   (rho_normalized calls: 273) 


Obj funtion: (0.070615266248507, 0.007488064891772591)   (rho_normalized calls: 273) 


Obj funtion: (0.07061526625928015, 0.007488064892950921)   (rho_normalized calls: 273) 


Obj funtion: (0.07061526629615773, 0.007488064882082239)   (rho_normalized calls: 273) 


Obj funtion: (0.07061526624763541, 0.00748806487489926)   (rho_normalized calls: 273) 


Obj funtion: (0.0706152662476958, 0.0074880648722617255)   (rho_normalized calls: 273) 


Obj funtion: (0.07061526621110688, 0.007488064820359382)   (rho_normalized calls: 273) 


Obj funtion: (0.0706152662003549, 0.00748806485054815)   (rho_normalized calls: 273) 


Obj funtion: (0.0706152663636565, 0.00748806484812925)   (rho_normalized calls: 273) 


Obj funtion: (0.07061526613155852, 0.007488064873709197)   (rho_normalized calls: 273) 


Obj funtion: (0.07061526622821922, 0.007488064870148488)   (rho_normalized calls: 273) 


Obj funtion: (0.07061526623560857, 0.007488064881311653)   (rho_normalized calls: 273) 


Obj funtion: (0.07061526623616482, 0.007488064881536029)   (rho_normalized calls: 273) 


Obj funtion: (0.07061526623612374, 0.0074880648811887236)   (rho_normalized calls: 273) 


Obj funtion: (0.07061526623558431, 0.007488064882140542)   (rho_normalized calls: 273) 


Obj funtion: (0.07061526623085285, 0.007488064880145475)   (rho_normalized calls: 273) 


Obj funtion: (0.07061526623581531, 0.007488064881077613)   (rho_normalized calls: 273) 


Obj funtion: (0.07061526623655402, 0.007488064880603775)   (rho_normalized calls: 273) 


Obj funtion: (0.07061526623392511, 0.00748806488017806)   (rho_normalized calls: 273) 


Obj funtion: (0.07061526623446956, 0.0074880648809536755)   (rho_normalized calls: 273) 


Obj funtion: (0.0706152662563921, 0.007488064879580526)   (rho_normalized calls: 273) 


Obj funtion: (0.07061526625911838, 0.007488064868283572)   (rho_normalized calls: 273) 


Obj funtion: (0.07061526622951261, 0.00748806490038274)   (rho_normalized calls: 273) 


Obj funtion: (0.06527526523978033, 0.00928986703509882)   (rho_normalized calls: 315) 


Obj funtion: (0.06527526519416062, 0.009289867060758654)   (rho_normalized calls: 315) 


Obj funtion: (0.06527526445722012, 0.009289866450642888)   (rho_normalized calls: 315) 


Obj funtion: (0.06527526582772693, 0.00928986762840589)   (rho_normalized calls: 315) 


Obj funtion: (0.0652752658966566, 0.009289867043680447)   (rho_normalized calls: 315) 


Obj funtion: (0.0652752640904865, 0.009289866566117709)   (rho_normalized calls: 315) 


Obj funtion: (0.06527526427546554, 0.009289866768134161)   (rho_normalized calls: 315) 


Obj funtion: (0.06527526523914626, 0.009289867035436408)   (rho_normalized calls: 315) 


Obj funtion: (0.06527526525030641, 0.009289867046734334)   (rho_normalized calls: 315) 


Obj funtion: (0.06527526524964869, 0.00928986704356358)   (rho_normalized calls: 315) 


Obj funtion: (0.06527526525696828, 0.00928986704176997)   (rho_normalized calls: 315) 


Obj funtion: (0.06527526530152973, 0.009289867039502075)   (rho_normalized calls: 315) 


Obj funtion: (0.06527526524961301, 0.009289867032895235)   (rho_normalized calls: 315) 


Obj funtion: (0.06527526524365532, 0.009289867033067188)   (rho_normalized calls: 315) 


Obj funtion: (0.06527526519428144, 0.009289866985570392)   (rho_normalized calls: 315) 


Obj funtion: (0.06527526521260076, 0.009289867012854565)   (rho_normalized calls: 315) 


Obj funtion: (0.06527526539586555, 0.009289867030339717)   (rho_normalized calls: 315) 


Obj funtion: (0.06527526512176927, 0.009289867072333695)   (rho_normalized calls: 315) 


Obj funtion: (0.06527526522891225, 0.009289867044388236)   (rho_normalized calls: 315) 


Obj funtion: (0.06527526523971419, 0.009289867035136581)   (rho_normalized calls: 315) 


Obj funtion: (0.06527526524031675, 0.009289867035994742)   (rho_normalized calls: 315) 


Obj funtion: (0.06527526523942545, 0.009289867034646963)   (rho_normalized calls: 315) 


Obj funtion: (0.06527526523990594, 0.009289867036356123)   (rho_normalized calls: 315) 


Obj funtion: (0.0652752652346845, 0.009289867034371069)   (rho_normalized calls: 315) 


Obj funtion: (0.06527526523989828, 0.009289867034601225)   (rho_normalized calls: 315) 


Obj funtion: (0.0652752652401843, 0.009289867034871457)   (rho_normalized calls: 315) 


Obj funtion: (0.06527526523755436, 0.009289867030599728)   (rho_normalized calls: 315) 


Obj funtion: (0.06527526524061084, 0.009289867036124978)   (rho_normalized calls: 315) 


Obj funtion: (0.06527526526040811, 0.009289867033504885)   (rho_normalized calls: 315) 


Obj funtion: (0.06527526526353279, 0.00928986703617279)   (rho_normalized calls: 315) 


Obj funtion: (0.06527526523415907, 0.0092898670501186)   (rho_normalized calls: 315) 


Obj funtion: (0.05386068473106693, 0.007353048691587946)   (rho_normalized calls: 189) 


Obj funtion: (0.05386068497446463, 0.007353048871135656)   (rho_normalized calls: 189) 


Obj funtion: (0.0538606849082654, 0.007353048580460464)   (rho_normalized calls: 189) 


Obj funtion: (0.05386068543879896, 0.007353049077490062)   (rho_normalized calls: 189) 


Obj funtion: (0.0538606859643687, 0.007353048907952303)   (rho_normalized calls: 189) 


Obj funtion: (0.05386068366845039, 0.0073530482972939595)   (rho_normalized calls: 189) 


Obj funtion: (0.053860684103108125, 0.007353048500555346)   (rho_normalized calls: 189) 


Obj funtion: (0.05386068473646188, 0.007353048696072761)   (rho_normalized calls: 189) 


Obj funtion: (0.0538606847437186, 0.007353048703293943)   (rho_normalized calls: 189) 


Obj funtion: (0.05386068472696614, 0.007353048698689959)   (rho_normalized calls: 189) 


Obj funtion: (0.05386068474515166, 0.007353048699607961)   (rho_normalized calls: 189) 


Obj funtion: (0.05386068479550586, 0.0073530486967134665)   (rho_normalized calls: 189) 


Obj funtion: (0.053860684735884685, 0.007353048690222212)   (rho_normalized calls: 189) 


Obj funtion: (0.053860684702375795, 0.0073530486651349255)   (rho_normalized calls: 189) 


Obj funtion: (0.0538606846703144, 0.007353048635899145)   (rho_normalized calls: 189) 


Obj funtion: (0.053860684745774094, 0.007353048671451456)   (rho_normalized calls: 189) 


Obj funtion: (0.05386068490906663, 0.007353048677747906)   (rho_normalized calls: 189) 


Obj funtion: (0.05386068456532029, 0.0073530486817895615)   (rho_normalized calls: 189) 


Obj funtion: (0.053860684713437454, 0.0073530486550527786)   (rho_normalized calls: 189) 


Obj funtion: (0.053860684731309214, 0.007353048691870997)   (rho_normalized calls: 189) 


Obj funtion: (0.0538606847309856, 0.00735304869194949)   (rho_normalized calls: 189) 


Obj funtion: (0.05386068473067553, 0.0073530486915090645)   (rho_normalized calls: 189) 


Obj funtion: (0.053860684731700074, 0.007353048692224742)   (rho_normalized calls: 189) 


Obj funtion: (0.05386068472546214, 0.007353048690987509)   (rho_normalized calls: 189) 


Obj funtion: (0.05386068473121064, 0.0073530486911442955)   (rho_normalized calls: 189) 


Obj funtion: (0.053860684729795306, 0.007353048689742047)   (rho_normalized calls: 189) 


Obj funtion: (0.053860684731731646, 0.007353048690336405)   (rho_normalized calls: 189) 


Obj funtion: (0.05386068473216129, 0.007353048691713193)   (rho_normalized calls: 189) 


Obj funtion: (0.05386068475114742, 0.0073530486913256695)   (rho_normalized calls: 189) 


Obj funtion: (0.05386068475626251, 0.007353048692672422)   (rho_normalized calls: 189) 


Obj funtion: (0.05386068472731576, 0.007353048691014797)   (rho_normalized calls: 189) 


Obj funtion: (0.05023551602860059, 0.009777861208235428)   (rho_normalized calls: 147) 


Obj funtion: (0.05023551618423747, 0.009777861126262263)   (rho_normalized calls: 147) 


Obj funtion: (0.05023551582212626, 0.009777860325328958)   (rho_normalized calls: 147) 


Obj funtion: (0.0502355169638222, 0.009777861928929849)   (rho_normalized calls: 147) 


Obj funtion: (0.05023551607621467, 0.00977786133145752)   (rho_normalized calls: 147) 


Obj funtion: (0.050235516976387506, 0.009777861123980054)   (rho_normalized calls: 147) 


Obj funtion: (0.050235516550667485, 0.009777861534288786)   (rho_normalized calls: 147) 


Obj funtion: (0.050235516031963905, 0.009777861206463984)   (rho_normalized calls: 147) 


Obj funtion: (0.05023551604160216, 0.009777861219955525)   (rho_normalized calls: 147) 


Obj funtion: (0.050235516027649516, 0.009777861214905481)   (rho_normalized calls: 147) 


Obj funtion: (0.050235516029408435, 0.00977786121044729)   (rho_normalized calls: 147) 


Obj funtion: (0.05023551608486893, 0.009777861209037605)   (rho_normalized calls: 147) 


Obj funtion: (0.050235516032377914, 0.009777861211713118)   (rho_normalized calls: 147) 


Obj funtion: (0.05023551600986, 0.00977786121810599)   (rho_normalized calls: 147) 


Obj funtion: (0.05023551596787297, 0.009777861154656925)   (rho_normalized calls: 147) 


Obj funtion: (0.050235516034834345, 0.009777861191736084)   (rho_normalized calls: 147) 


Obj funtion: (0.050235516273029274, 0.009777861208040695)   (rho_normalized calls: 147) 


Obj funtion: (0.05023551592581982, 0.009777861204763656)   (rho_normalized calls: 147) 


Obj funtion: (0.05023551600786101, 0.00977786115206019)   (rho_normalized calls: 147) 


Obj funtion: (0.05023551602873832, 0.009777861208162875)   (rho_normalized calls: 147) 


Obj funtion: (0.05023551602872941, 0.009777861208751487)   (rho_normalized calls: 147) 


Obj funtion: (0.05023551602801683, 0.009777861207852054)   (rho_normalized calls: 147) 


Obj funtion: (0.05023551602849965, 0.009777861208960133)   (rho_normalized calls: 147) 


Obj funtion: (0.05023551602363412, 0.00977786120810626)   (rho_normalized calls: 147) 


Obj funtion: (0.050235516028753396, 0.00977786120831061)   (rho_normalized calls: 147) 


Obj funtion: (0.05023551602783495, 0.009777861208638675)   (rho_normalized calls: 147) 


Obj funtion: (0.05023551602841875, 0.00977786120614843)   (rho_normalized calls: 147) 


Obj funtion: (0.05023551603019878, 0.009777861209159217)   (rho_normalized calls: 147) 


Obj funtion: (0.05023551605277007, 0.009777861207616687)   (rho_normalized calls: 147) 


Obj funtion: (0.05023551604776932, 0.00977786120777347)   (rho_normalized calls: 147) 


Obj funtion: (0.050235516025524105, 0.009777861204631304)   (rho_normalized calls: 147) 


Obj funtion: (0.04764242725886546, 0.008577286115070366)   (rho_normalized calls: 147) 


Obj funtion: (0.04764242738402972, 0.008577286109892078)   (rho_normalized calls: 147) 


Obj funtion: (0.0476424272239484, 0.008577285515680426)   (rho_normalized calls: 147) 


Obj funtion: (0.04764242763056556, 0.008577286641331332)   (rho_normalized calls: 147) 


Obj funtion: (0.047642427026750436, 0.00857728616495678)   (rho_normalized calls: 147) 


Obj funtion: (0.047642428231454315, 0.008577286046472975)   (rho_normalized calls: 147) 


Obj funtion: (0.04764242779732323, 0.00857728644378504)   (rho_normalized calls: 147) 


Obj funtion: (0.047642427261569, 0.008577286115144599)   (rho_normalized calls: 147) 


Obj funtion: (0.04764242726808401, 0.008577286125743912)   (rho_normalized calls: 147) 


Obj funtion: (0.047642427258548205, 0.008577286120479276)   (rho_normalized calls: 147) 


Obj funtion: (0.04764242726351861, 0.00857728611949947)   (rho_normalized calls: 147) 


Obj funtion: (0.0476424273128066, 0.008577286115297192)   (rho_normalized calls: 147) 


Obj funtion: (0.04764242726274105, 0.008577286118589496)   (rho_normalized calls: 147) 


Obj funtion: (0.04764242724354724, 0.008577286113750644)   (rho_normalized calls: 147) 


Obj funtion: (0.04764242721432542, 0.00857728606744284)   (rho_normalized calls: 147) 


Obj funtion: (0.047642427261111876, 0.00857728610013652)   (rho_normalized calls: 147) 


Obj funtion: (0.047642427482916166, 0.008577286105690023)   (rho_normalized calls: 147) 


Obj funtion: (0.04764242716469175, 0.008577286113986303)   (rho_normalized calls: 147) 


Obj funtion: (0.04764242723985466, 0.008577286058466062)   (rho_normalized calls: 147) 


Obj funtion: (0.04764242725896944, 0.008577286115064413)   (rho_normalized calls: 147) 


Obj funtion: (0.04764242725892434, 0.008577286115519035)   (rho_normalized calls: 147) 


Obj funtion: (0.04764242725876315, 0.008577286114995565)   (rho_normalized calls: 147) 


Obj funtion: (0.047642427258523884, 0.008577286115863933)   (rho_normalized calls: 147) 


Obj funtion: (0.047642427254120386, 0.008577286114931762)   (rho_normalized calls: 147) 


Obj funtion: (0.047642427259010946, 0.00857728611513911)   (rho_normalized calls: 147) 


Obj funtion: (0.0476424272582745, 0.008577286114961023)   (rho_normalized calls: 147) 


Obj funtion: (0.0476424272588554, 0.008577286113413067)   (rho_normalized calls: 147) 


Obj funtion: (0.047642427259051975, 0.008577286115074183)   (rho_normalized calls: 147) 


Obj funtion: (0.04764242728316764, 0.008577286113678945)   (rho_normalized calls: 147) 


Obj funtion: (0.0476424272772434, 0.008577286114305104)   (rho_normalized calls: 147) 


Obj funtion: (0.047642427255698803, 0.00857728611145623)   (rho_normalized calls: 147) 


Obj funtion: (0.04569141301167537, 0.008013054031401574)   (rho_normalized calls: 147) 


Obj funtion: (0.04569141304407814, 0.008013054006718832)   (rho_normalized calls: 147) 


Obj funtion: (0.0456914129686085, 0.008013053761063392)   (rho_normalized calls: 147) 


Obj funtion: (0.04569141283874952, 0.008013054154251735)   (rho_normalized calls: 147) 


Obj funtion: (0.045691412664315874, 0.008013054037536098)   (rho_normalized calls: 147) 


Obj funtion: (0.04569141362429055, 0.008013053822424898)   (rho_normalized calls: 147) 


Obj funtion: (0.045691413584348306, 0.008013054404163965)   (rho_normalized calls: 147) 


Obj funtion: (0.04569141301250152, 0.008013054030772258)   (rho_normalized calls: 147) 


Obj funtion: (0.045691413016610546, 0.008013054037650798)   (rho_normalized calls: 147) 


Obj funtion: (0.045691413014313925, 0.008013054030183896)   (rho_normalized calls: 147) 


Obj funtion: (0.0456914130219704, 0.008013054036974776)   (rho_normalized calls: 147) 


Obj funtion: (0.04569141306197272, 0.00801305403229495)   (rho_normalized calls: 147) 


Obj funtion: (0.0456914130157825, 0.0080130540341415)   (rho_normalized calls: 147) 


Obj funtion: (0.04569141300671209, 0.008013054035182342)   (rho_normalized calls: 147) 


Obj funtion: (0.045691412987832886, 0.008013054003386137)   (rho_normalized calls: 147) 


Obj funtion: (0.04569141300537216, 0.008013054037918028)   (rho_normalized calls: 147) 


Obj funtion: (0.045691413196842195, 0.008013054016196605)   (rho_normalized calls: 147) 


Obj funtion: (0.04569141291883247, 0.008013054041868542)   (rho_normalized calls: 147) 


Obj funtion: (0.045691412996282904, 0.008013053990616595)   (rho_normalized calls: 147) 


Obj funtion: (0.045691413011683904, 0.00801305403139508)   (rho_normalized calls: 147) 


Obj funtion: (0.0456914130117754, 0.008013054031742496)   (rho_normalized calls: 147) 


Obj funtion: (0.04569141301205897, 0.008013054032084792)   (rho_normalized calls: 147) 


Obj funtion: (0.045691413011153946, 0.008013054032497684)   (rho_normalized calls: 147) 


Obj funtion: (0.04569141300727193, 0.00801305403128174)   (rho_normalized calls: 147) 


Obj funtion: (0.045691413011803544, 0.008013054031518606)   (rho_normalized calls: 147) 


Obj funtion: (0.04569141301161596, 0.00801305403144683)   (rho_normalized calls: 147) 


